instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
3721,28-11-2011,Fall,2011,November,14,No Holiday,Monday,Working Day,Cloudy or Light Rain,28
3722,16-05-2011,Spring,2011,May,4,No Holiday,Monday,Working Day,Light Rain or Mist,2
3723,11-01-2012,Winter,2012,January,22,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,181
3724,28-06-2011,Summer,2011,June,9,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,185
3725,28-09-2012,Fall,2012,September,18,No Holiday,Friday,Working Day,Cloudy or Light Rain,540
3726,21-02-2012,Winter,2012,February,15,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,174
3727,15-08-2012,Summer,2012,August,5,Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,6
3728,21-05-2012,Spring,2012,May,12,No Holiday,Monday,Working Day,Light Rain or Mist,284
3729,17-05-2011,Spring,2011,May,18,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,292
3730,02-04-2012,Spring,2012,April,18,No Holiday,Monday,Working Day,Light Rain or Mist,835
3731,27-09-2011,Fall,2011,September,10,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,109
3732,10-07-2012,Summer,2012,July,4,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,9
3733,28-07-2011,Summer,2011,July,16,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,312
3734,19-10-2011,Fall,2011,October,8,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,259
3735,26-01-2012,Winter,2012,January,7,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,42
3736,25-11-2011,Fall,2011,November,7,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,26
3737,17-09-2011,Fall,2011,September,0,No Holiday,Saturday,Working Day,Cloudy or Light Rain,23
3738,22-12-2011,Winter,2011,December,9,No Holiday,Thursday,Working Day,Heavy Snow or Rain,213
3739,18-08-2012,Summer,2012,August,18,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,229
3740,21-01-2011,Winter,2011,January,17,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,245
3741,24-01-2012,Winter,2012,January,21,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,102
3742,07-09-2011,Fall,2011,September,10,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,63
3743,24-09-2012,Fall,2012,September,22,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,214
3744,22-10-2012,Fall,2012,October,10,No Holiday,Monday,Working Day,Cloudy or Light Rain,161
3745,15-08-2011,Summer,2011,August,7,No Holiday,Monday,Working Day,Clear or Partly Cloudy,99
3746,26-11-2011,Fall,2011,November,5,No Holiday,Saturday,Working Day,Cloudy or Light Rain,32
3747,08-09-2011,Fall,2011,September,17,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,272
3748,02-04-2012,Spring,2012,April,20,No Holiday,Monday,Non-Working Day,Light Rain or Mist,192
3749,19-08-2011,Summer,2011,August,7,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,20
3750,20-02-2011,Winter,2011,February,10,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,200
3751,23-04-2012,Spring,2012,April,5,No Holiday,Monday,Working Day,Light Rain or Mist,21
3752,03-11-2012,Fall,2012,November,11,No Holiday,Saturday,Working Day,Cloudy or Light Rain,214
3753,08-10-2012,Fall,2012,October,17,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,436
3754,13-02-2012,Winter,2012,February,4,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,2
3755,02-02-2011,Winter,2011,February,19,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,11
3756,24-02-2011,Winter,2011,February,2,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,52
3757,14-11-2011,Fall,2011,November,9,No Holiday,Monday,Working Day,Cloudy or Light Rain,190
3758,25-09-2012,Fall,2012,September,6,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,140
3759,02-09-2012,Fall,2012,September,0,No Holiday,Sunday,Working Day,Cloudy or Light Rain,54
3760,08-04-2012,Spring,2012,April,11,No Holiday,Sunday,Working Day,Light Rain or Mist,217
3761,09-06-2012,Summer,2012,June,4,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,8
3762,12-11-2011,Fall,2011,November,17,No Holiday,Saturday,Working Day,Cloudy or Light Rain,485
3763,21-07-2012,Summer,2012,July,4,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,5
3764,13-05-2011,Spring,2011,May,19,No Holiday,Friday,Working Day,Light Rain or Mist,276
3765,25-10-2011,Fall,2011,October,22,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,154
3766,21-01-2011,Winter,2011,January,10,No Holiday,Friday,Working Day,Heavy Snow or Rain,113
3767,02-07-2012,Summer,2012,July,11,No Holiday,Monday,Working Day,Clear or Partly Cloudy,228
3768,13-06-2012,Summer,2012,June,17,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,502
3769,05-01-2012,Winter,2012,January,0,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,161
3770,18-08-2011,Summer,2011,August,11,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,37
3771,06-08-2012,Summer,2012,August,0,No Holiday,Monday,Working Day,Clear or Partly Cloudy,65
3772,21-05-2011,Spring,2011,May,7,Holiday,Saturday,Non-Working Day,Light Rain or Mist,36
3773,17-05-2012,Spring,2012,May,3,No Holiday,Thursday,Working Day,Light Rain or Mist,12
3774,15-12-2011,Winter,2011,December,21,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,167
3775,16-04-2011,Spring,2011,April,23,No Holiday,Saturday,Working Day,Light Rain or Mist,61
3776,25-02-2011,Winter,2011,February,21,No Holiday,Friday,Working Day,Heavy Snow or Rain,202
3777,04-07-2011,Summer,2011,July,19,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,71
3778,19-03-2011,Spring,2011,March,15,No Holiday,Saturday,Working Day,Light Rain or Mist,159
3779,19-02-2012,Winter,2012,February,20,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,274
3780,22-04-2011,Spring,2011,April,17,No Holiday,Friday,Working Day,Light Rain or Mist,601
3781,15-04-2011,Spring,2011,April,7,No Holiday,Friday,Working Day,Light Rain or Mist,247
3782,19-06-2012,Summer,2012,June,13,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,278
3783,05-09-2012,Fall,2012,September,10,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,287
3784,19-05-2011,Spring,2011,May,14,No Holiday,Thursday,Working Day,Light Rain or Mist,177
3785,20-02-2011,Winter,2011,February,2,No Holiday,Sunday,Working Day,Heavy Snow or Rain,2
3786,28-11-2012,Fall,2012,November,10,Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,126
3787,26-03-2011,Spring,2011,March,10,No Holiday,Saturday,Working Day,Light Rain or Mist,90
3788,21-03-2011,Spring,2011,March,10,No Holiday,Monday,Working Day,Light Rain or Mist,130
3789,16-06-2011,Summer,2011,June,7,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,312
3790,10-10-2012,Fall,2012,October,20,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,216
3791,19-12-2011,Winter,2011,December,7,No Holiday,Monday,Working Day,Heavy Snow or Rain,108
3792,28-01-2011,Winter,2011,January,15,No Holiday,Friday,Working Day,Heavy Snow or Rain,45
3793,01-04-2011,Spring,2011,April,1,Holiday,Friday,Non-Working Day,Light Rain or Mist,34
3794,22-10-2012,Fall,2012,October,14,No Holiday,Monday,Working Day,Cloudy or Light Rain,134
3795,10-06-2011,Summer,2011,June,5,No Holiday,Friday,Working Day,Clear or Partly Cloudy,4
3796,19-12-2011,Winter,2011,December,13,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,125
3797,07-08-2012,Summer,2012,August,5,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,40
3798,05-06-2012,Summer,2012,June,2,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,1
3799,24-02-2011,Winter,2011,February,10,No Holiday,Thursday,Working Day,Heavy Snow or Rain,44
3800,04-12-2011,Winter,2011,December,7,No Holiday,Sunday,Working Day,Heavy Snow or Rain,107
3801,08-12-2012,Winter,2012,December,2,No Holiday,Saturday,Working Day,Heavy Snow or Rain,11
3802,21-08-2011,Summer,2011,August,23,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,67
3803,18-05-2012,Spring,2012,May,0,No Holiday,Friday,Working Day,Light Rain or Mist,31
3804,24-10-2011,Fall,2011,October,14,No Holiday,Monday,Working Day,Cloudy or Light Rain,81
3805,03-05-2011,Spring,2011,May,4,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,17
3806,10-11-2011,Fall,2011,November,0,No Holiday,Thursday,Working Day,Cloudy or Light Rain,64
3807,21-06-2011,Summer,2011,June,8,Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,258
3808,04-09-2011,Fall,2011,September,20,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,41
3809,10-11-2011,Fall,2011,November,19,No Holiday,Thursday,Working Day,Cloudy or Light Rain,112
3810,09-02-2011,Winter,2011,February,17,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,324
3811,05-04-2011,Spring,2011,April,14,No Holiday,Tuesday,Working Day,Light Rain or Mist,145
3812,16-11-2012,Fall,2012,November,17,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,521
3813,23-01-2012,Winter,2012,January,0,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,124
3814,03-01-2012,Winter,2012,January,11,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,546
3815,09-05-2012,Spring,2012,May,6,No Holiday,Wednesday,Working Day,Light Rain or Mist,84
3816,27-01-2012,Winter,2012,January,6,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,20
3817,04-09-2012,Fall,2012,September,23,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,57
3818,12-10-2012,Fall,2012,October,11,No Holiday,Friday,Working Day,Cloudy or Light Rain,227
3819,21-10-2012,Fall,2012,October,18,No Holiday,Sunday,Working Day,Cloudy or Light Rain,546
3820,24-04-2011,Spring,2011,April,13,No Holiday,Sunday,Working Day,Light Rain or Mist,136
3821,01-12-2011,Winter,2011,December,1,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,35
3822,15-03-2011,Spring,2011,March,8,No Holiday,Tuesday,Working Day,Light Rain or Mist,564
3823,02-06-2012,Summer,2012,June,20,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,235
3824,28-08-2012,Summer,2012,August,4,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,10
3825,01-08-2012,Summer,2012,August,4,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,2
3826,10-02-2012,Winter,2012,February,12,No Holiday,Friday,Working Day,Heavy Snow or Rain,331
3827,10-09-2011,Fall,2011,September,17,No Holiday,Saturday,Working Day,Cloudy or Light Rain,506
3828,17-10-2011,Fall,2011,October,4,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,5
3829,08-10-2012,Fall,2012,October,15,No Holiday,Monday,Working Day,Cloudy or Light Rain,283
3830,25-11-2011,Fall,2011,November,6,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,7
3831,01-03-2011,Spring,2011,March,11,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,250
3832,25-12-2012,Winter,2012,December,4,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,2
3833,20-05-2011,Spring,2011,May,7,No Holiday,Friday,Non-Working Day,Light Rain or Mist,24
3834,03-10-2012,Fall,2012,October,16,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,253
3835,25-05-2011,Spring,2011,May,12,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,347
3836,01-06-2012,Summer,2012,June,20,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,103
3837,28-02-2012,Winter,2012,February,23,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,82
3838,24-04-2011,Spring,2011,April,2,No Holiday,Sunday,Working Day,Light Rain or Mist,1
3839,13-03-2011,Spring,2011,March,8,No Holiday,Sunday,Working Day,Light Rain or Mist,492
3840,10-10-2012,Fall,2012,October,19,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,335
3841,28-09-2011,Fall,2011,September,9,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,164
3842,06-07-2012,Summer,2012,July,22,No Holiday,Friday,Working Day,Clear or Partly Cloudy,164
3843,20-05-2011,Spring,2011,May,21,No Holiday,Friday,Non-Working Day,Light Rain or Mist,95
3844,09-06-2012,Summer,2012,June,11,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,197
3845,10-06-2012,Summer,2012,June,0,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,34
3846,03-05-2012,Spring,2012,May,19,Holiday,Thursday,Non-Working Day,Light Rain or Mist,353
3847,01-06-2011,Summer,2011,June,22,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,48
3848,19-03-2012,Spring,2012,March,17,No Holiday,Monday,Non-Working Day,Light Rain or Mist,586
3849,17-06-2012,Summer,2012,June,15,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,281
3850,01-12-2012,Winter,2012,December,11,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,495
3851,09-06-2011,Summer,2011,June,6,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,3
3852,17-10-2011,Fall,2011,October,18,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,48
3853,07-03-2011,Spring,2011,March,4,No Holiday,Monday,Working Day,Light Rain or Mist,3
3854,10-11-2012,Fall,2012,November,3,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,28
3855,09-11-2011,Fall,2011,November,5,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,15
3856,15-02-2012,Winter,2012,February,0,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,53
3857,22-04-2011,Spring,2011,April,22,No Holiday,Friday,Non-Working Day,Light Rain or Mist,130
3858,27-03-2011,Spring,2011,March,1,No Holiday,Sunday,Working Day,Light Rain or Mist,4
3859,13-10-2011,Fall,2011,October,23,No Holiday,Thursday,Working Day,Cloudy or Light Rain,81
3860,13-06-2012,Summer,2012,June,10,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,204
3861,11-06-2012,Summer,2012,June,18,No Holiday,Monday,Working Day,Clear or Partly Cloudy,671
3862,06-07-2011,Summer,2011,July,9,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,204
3863,11-03-2011,Spring,2011,March,17,No Holiday,Friday,Non-Working Day,Light Rain or Mist,231
3864,09-02-2012,Winter,2012,February,18,No Holiday,Thursday,Working Day,Heavy Snow or Rain,795
3865,11-11-2011,Fall,2011,November,2,No Holiday,Friday,Working Day,Cloudy or Light Rain,3
3866,01-02-2012,Winter,2012,February,18,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,271
3867,03-04-2012,Spring,2012,April,4,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,9
3868,07-02-2011,Winter,2011,February,16,No Holiday,Monday,Working Day,Heavy Snow or Rain,344
3869,22-10-2012,Fall,2012,October,0,No Holiday,Monday,Working Day,Cloudy or Light Rain,39
3870,20-06-2011,Summer,2011,June,11,No Holiday,Monday,Working Day,Clear or Partly Cloudy,86
3871,08-06-2011,Summer,2011,June,8,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,398
3872,12-03-2012,Spring,2012,March,14,No Holiday,Monday,Non-Working Day,Light Rain or Mist,561
3873,19-01-2011,Winter,2011,January,19,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,321
3874,28-03-2012,Spring,2012,March,14,No Holiday,Wednesday,Working Day,Light Rain or Mist,350
3875,21-04-2011,Spring,2011,April,9,No Holiday,Thursday,Working Day,Light Rain or Mist,280
3876,12-09-2012,Fall,2012,September,1,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,88
3877,25-03-2012,Spring,2012,March,16,No Holiday,Sunday,Working Day,Light Rain or Mist,50
3878,03-10-2012,Fall,2012,October,16,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,294
3879,22-09-2011,Fall,2011,September,19,No Holiday,Thursday,Working Day,Cloudy or Light Rain,287
3880,11-04-2012,Spring,2012,April,10,No Holiday,Wednesday,Working Day,Light Rain or Mist,197
3881,01-03-2012,Spring,2012,March,9,No Holiday,Thursday,Working Day,Light Rain or Mist,272
3882,06-04-2011,Spring,2011,April,4,No Holiday,Wednesday,Working Day,Light Rain or Mist,6
3883,06-05-2012,Spring,2012,May,10,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,406
3884,08-04-2012,Spring,2012,April,21,No Holiday,Sunday,Working Day,Light Rain or Mist,116
3885,07-12-2012,Winter,2012,December,1,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,93
3886,14-04-2011,Spring,2011,April,8,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,45
3887,02-10-2012,Fall,2012,October,23,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,103
3888,07-10-2012,Fall,2012,October,11,No Holiday,Sunday,Working Day,Cloudy or Light Rain,274
3889,15-05-2011,Spring,2011,May,4,No Holiday,Sunday,Working Day,Light Rain or Mist,1
3890,22-08-2012,Summer,2012,August,9,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,285
3891,04-01-2011,Winter,2011,January,23,No Holiday,Tuesday,Non-Working Day,Heavy Snow or Rain,150
3892,14-12-2011,Winter,2011,December,6,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,18
3893,12-10-2011,Fall,2011,October,7,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,3
3894,04-04-2011,Spring,2011,April,23,No Holiday,Monday,Working Day,Light Rain or Mist,126
3895,20-02-2012,Winter,2012,February,12,No Holiday,Monday,Working Day,Heavy Snow or Rain,313
3896,06-12-2011,Winter,2011,December,7,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,95
3897,06-02-2011,Winter,2011,February,22,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,72
3898,18-04-2011,Spring,2011,April,12,No Holiday,Monday,Working Day,Light Rain or Mist,232
3899,23-04-2012,Spring,2012,April,4,No Holiday,Monday,Non-Working Day,Light Rain or Mist,9
3900,05-06-2012,Summer,2012,June,18,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,641
3901,04-05-2011,Spring,2011,May,6,No Holiday,Wednesday,Working Day,Light Rain or Mist,39
3902,17-06-2012,Summer,2012,June,23,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,166
3903,21-04-2011,Spring,2011,April,0,No Holiday,Thursday,Working Day,Light Rain or Mist,12
3904,03-10-2011,Fall,2011,October,10,No Holiday,Monday,Working Day,Cloudy or Light Rain,95
3905,22-08-2012,Summer,2012,August,4,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,9
3906,16-02-2011,Winter,2011,February,13,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,97
3907,02-04-2012,Spring,2012,April,16,No Holiday,Monday,Working Day,Light Rain or Mist,463
3908,02-11-2012,Fall,2012,November,10,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,166
3909,27-12-2011,Winter,2011,December,4,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,4
3910,22-02-2012,Winter,2012,February,2,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,19
3911,27-07-2012,Summer,2012,July,0,No Holiday,Friday,Working Day,Clear or Partly Cloudy,56
3912,23-04-2011,Spring,2011,April,15,No Holiday,Saturday,Working Day,Light Rain or Mist,146
3913,15-04-2012,Spring,2012,April,9,No Holiday,Sunday,Working Day,Light Rain or Mist,361
3914,03-11-2011,Fall,2011,November,22,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,175
3915,28-10-2012,Fall,2012,October,5,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,9
3916,04-07-2012,Summer,2012,July,13,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,291
3917,08-01-2012,Winter,2012,January,14,No Holiday,Sunday,Working Day,Heavy Snow or Rain,251
3918,18-06-2012,Summer,2012,June,12,No Holiday,Monday,Working Day,Clear or Partly Cloudy,140
3919,01-01-2011,Winter,2011,January,18,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,328
3920,13-02-2011,Winter,2011,February,0,No Holiday,Sunday,Working Day,Heavy Snow or Rain,15
3921,23-10-2011,Fall,2011,October,22,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,21
3922,02-02-2012,Winter,2012,February,16,No Holiday,Thursday,Working Day,Heavy Snow or Rain,231
3923,06-11-2011,Fall,2011,November,19,No Holiday,Sunday,Working Day,Cloudy or Light Rain,371
3924,07-07-2011,Summer,2011,July,5,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,28
3925,17-12-2011,Winter,2011,December,13,No Holiday,Saturday,Working Day,Heavy Snow or Rain,159
3926,04-02-2012,Winter,2012,February,19,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,336
3927,19-03-2012,Spring,2012,March,7,No Holiday,Monday,Non-Working Day,Light Rain or Mist,40
3928,08-05-2012,Spring,2012,May,9,No Holiday,Tuesday,Working Day,Light Rain or Mist,343
3929,01-12-2011,Winter,2011,December,6,No Holiday,Thursday,Working Day,Heavy Snow or Rain,40
3930,24-01-2012,Winter,2012,January,12,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,221
3931,23-12-2011,Winter,2011,December,1,No Holiday,Friday,Working Day,Heavy Snow or Rain,10
3932,21-03-2012,Spring,2012,March,6,No Holiday,Wednesday,Working Day,Light Rain or Mist,124
3933,08-05-2012,Spring,2012,May,6,No Holiday,Tuesday,Working Day,Light Rain or Mist,181
3934,28-01-2011,Winter,2011,January,16,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,33
3935,14-01-2012,Winter,2012,January,22,No Holiday,Saturday,Working Day,Heavy Snow or Rain,254
3936,18-12-2011,Winter,2011,December,0,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,77
3937,08-08-2011,Summer,2011,August,22,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,143
3938,15-06-2012,Summer,2012,June,10,No Holiday,Friday,Working Day,Clear or Partly Cloudy,91
3939,11-11-2011,Fall,2011,November,23,No Holiday,Friday,Working Day,Cloudy or Light Rain,22
3940,18-01-2012,Winter,2012,January,18,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,370
3941,12-12-2011,Winter,2011,December,13,No Holiday,Monday,Working Day,Heavy Snow or Rain,151
3942,22-12-2012,Winter,2012,December,4,No Holiday,Saturday,Working Day,Heavy Snow or Rain,1
3943,12-06-2011,Summer,2011,June,2,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,1
3944,24-11-2012,Fall,2012,November,23,No Holiday,Saturday,Working Day,Cloudy or Light Rain,96
3945,10-09-2012,Fall,2012,September,0,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,117
3946,09-02-2011,Winter,2011,February,19,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,376
3947,24-02-2012,Winter,2012,February,0,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,44
3948,28-03-2012,Spring,2012,March,19,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,383
3949,11-06-2012,Summer,2012,June,13,No Holiday,Monday,Working Day,Clear or Partly Cloudy,214
3950,02-05-2011,Spring,2011,May,17,No Holiday,Monday,Working Day,Light Rain or Mist,628
3951,19-02-2012,Winter,2012,February,16,No Holiday,Sunday,Working Day,Heavy Snow or Rain,497
3952,05-07-2012,Summer,2012,July,21,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,258
3953,07-05-2011,Spring,2011,May,0,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,90
3954,03-02-2012,Winter,2012,February,14,No Holiday,Friday,Working Day,Heavy Snow or Rain,143
3955,20-12-2012,Winter,2012,December,17,Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,596
3956,10-01-2011,Winter,2011,January,22,No Holiday,Monday,Working Day,Heavy Snow or Rain,151
3957,14-02-2012,Winter,2012,February,17,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,460
3958,15-09-2012,Fall,2012,September,18,No Holiday,Saturday,Working Day,Cloudy or Light Rain,744
3959,03-03-2011,Spring,2011,March,15,No Holiday,Thursday,Working Day,Light Rain or Mist,194
3960,16-12-2011,Winter,2011,December,18,No Holiday,Friday,Working Day,Heavy Snow or Rain,551
3961,08-10-2011,Fall,2011,October,11,No Holiday,Saturday,Non-Working Day,Cloudy or Light Rain,181
3962,12-10-2012,Fall,2012,October,18,No Holiday,Friday,Working Day,Cloudy or Light Rain,646
3963,22-08-2011,Summer,2011,August,13,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,421
3964,16-02-2012,Winter,2012,February,9,No Holiday,Thursday,Working Day,Heavy Snow or Rain,331
3965,02-01-2011,Winter,2011,January,12,No Holiday,Sunday,Working Day,Heavy Snow or Rain,168
3966,07-08-2011,Summer,2011,August,2,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,1
3967,04-12-2012,Winter,2012,December,7,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,92
3968,09-12-2012,Winter,2012,December,17,No Holiday,Sunday,Working Day,Heavy Snow or Rain,850
3969,23-02-2011,Winter,2011,February,4,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,7
3970,09-01-2012,Winter,2012,January,5,No Holiday,Monday,Working Day,Heavy Snow or Rain,35
3971,12-07-2012,Summer,2012,July,21,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,165
3972,19-01-2012,Winter,2012,January,21,No Holiday,Thursday,Working Day,Heavy Snow or Rain,243
3973,07-10-2012,Fall,2012,October,11,No Holiday,Sunday,Working Day,Cloudy or Light Rain,138
3974,03-09-2012,Fall,2012,September,19,No Holiday,Monday,Working Day,Cloudy or Light Rain,45
3975,06-04-2012,Spring,2012,April,4,No Holiday,Friday,Non-Working Day,Light Rain or Mist,1
3976,09-10-2012,Fall,2012,October,16,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,356
3977,20-12-2011,Winter,2011,December,20,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,129
3978,22-11-2012,Fall,2012,November,16,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,511
3979,13-10-2012,Fall,2012,October,8,No Holiday,Saturday,Working Day,Cloudy or Light Rain,663
3980,11-01-2011,Winter,2011,January,19,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,199
3981,01-08-2012,Summer,2012,August,1,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,71
3982,11-11-2012,Fall,2012,November,17,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,279
3983,16-08-2011,Summer,2011,August,17,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,261
3984,04-08-2012,Summer,2012,August,22,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,113
3985,25-08-2011,Summer,2011,August,20,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,157
3986,16-02-2011,Winter,2011,February,4,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,2
3987,15-11-2011,Fall,2011,November,22,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,34
3988,24-01-2012,Winter,2012,January,20,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,448
3989,08-09-2012,Fall,2012,September,8,No Holiday,Saturday,Working Day,Cloudy or Light Rain,682
3990,17-03-2011,Spring,2011,March,5,No Holiday,Thursday,Working Day,Light Rain or Mist,26
